iter	Passed	Remaining
0	0	83
1	1	70
2	2	66
3	2	60
4	3	59
5	3	58
6	4	56
7	4	55
8	5	54
9	6	54
10	6	53
11	7	52
12	7	51
13	8	50
14	8	49
15	9	48
16	9	47
17	10	46
18	10	45
19	11	45
20	11	44
21	12	43
22	12	43
23	13	43
24	14	42
25	14	42
26	15	41
27	16	41
28	16	40
29	17	40
30	17	39
31	18	39
32	19	38
33	19	37
34	20	37
35	20	36
36	21	36
37	21	35
38	22	34
39	22	34
40	23	33
41	23	32
42	24	31
43	24	31
44	25	30
45	25	30
46	26	29
47	26	28
48	27	28
49	27	27
50	28	27
51	29	27
52	30	27
53	31	26
54	31	25
55	32	25
56	32	24
57	33	24
58	33	23
59	34	23
60	35	22
61	35	21
62	36	21
63	36	20
64	37	20
65	37	19
66	38	18
67	38	18
68	39	17
69	39	17
70	40	16
71	40	15
72	41	15
73	42	14
74	42	14
75	43	13
76	43	13
77	44	12
78	45	11
79	45	11
80	46	10
81	46	10
82	47	9
83	47	9
84	48	8
85	48	7
86	49	7
87	49	6
88	50	6
89	50	5
90	51	5
91	51	4
92	52	3
93	52	3
94	53	2
95	53	2
96	54	1
97	54	1
98	55	0
99	55	0
